Location,Property Type,Bedrooms,Bathrooms,Size,Price (KES),Listing Date,Amenities,Size_Missing,Size_Numeric,Bedrooms_Numeric,Neighborhood,Property_Type_Encoded,Listing_Date,Listing_Day,Listing_Month,Listing_DayOfWeek,Amenities_Clean,Total_Amenities,Has_Parking,Has_Swimming_Pool,Has_Gym,Has_Garden,Has_CCTV,Has_Backup_Generator,Has_Fibre_Internet,Has_Gated_Community,Price_Per_SqM,Bed_Bath_Ratio,Total_Rooms,Size_Per_Bedroom,Luxury_Score,Size_Category,Price_Category,Bedroom_Category,Neighborhood_Popularity,Is_Weekend_Listing
Nairobi - Lavington,House,5 bedrooms,7.0,,750000,19 February 2026,"Aircon, Alarm, Service Charge Included, Walk In Closet, Backup Generator, En Suite, Gym, Parking, Staff Quarters, Balcony, CCTV, Electric Fence, Garden, Swimming Pool, Gated Community, Bus Stop, Shopping Centre, Hospital, Scenic View, School",1,320.0,5,Lavington,1,2026-02-19,19,2,3,"Aircon, Alarm, Service Charge Included, Walk In Closet, Backup Generator, En Suite, Gym, Parking, Staff Quarters, Balcony, CCTV, Electric Fence, Garden, Swimming Pool, Gated Community, Bus Stop, Shopping Centre, Hospital, Scenic View, School",20,1,1,1,1,1,1,0,1,2343.75,0.7142857142857143,12.0,64.0,8.5,Large,Luxury,Large,102,0
Nairobi - Karen Hardy,House,3 bedrooms,3.0,,380000,17 February 2026,"Backup Generator, Alarm, Serviced, Service Charge Included, Walk In Closet, En Suite, Fibre Internet, Furnished, BBQ, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Parking, Kids Play Area, Scenic View, Hospital, Golf Course, Bus Stop, Shopping Centre, School",1,239.0,3,Karen Hardy,1,2026-02-17,17,2,1,"Backup Generator, Alarm, Serviced, Service Charge Included, Walk In Closet, En Suite, Fibre Internet, Furnished, BBQ, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Parking, Kids Play Area, Scenic View, Hospital, Golf Course, Bus Stop, Shopping Centre, School",24,1,0,0,1,1,1,1,1,1589.958158995816,1.0,6.0,79.66666666666667,4.0,Medium,Mid-Range,Medium,1,0
Nairobi - Kitisuru,House,4 bedrooms,4.0,,500000,17 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",1,300.0,4,Kitisuru,1,2026-02-17,17,2,1,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",24,1,0,0,1,1,1,1,1,1666.6666666666667,1.0,8.0,75.0,4.0,Medium,Premium,Medium,27,0
Nairobi - Lavington,House,4 bedrooms,4.0,,350000,20 February 2026,"Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Garden, Gated Community, Bus Stop, Hospital, School, Scenic View, Shopping Centre",1,300.0,4,Lavington,1,2026-02-20,20,2,4,"Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Garden, Gated Community, Bus Stop, Hospital, School, Scenic View, Shopping Centre",20,1,0,0,1,1,1,1,1,1166.6666666666667,1.0,8.0,75.0,4.0,Medium,Mid-Range,Medium,102,0
Nairobi - Runda,House,5 bedrooms,5.0,450 m²,541000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, BBQ, Balcony, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",0,450.0,5,Runda,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, BBQ, Balcony, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1202.2222222222222,1.0,10.0,90.0,2.0,Very Large,Premium,Large,85,0
Nairobi - Langata,House,4 bedrooms,4.0,,70000,19 February 2026,"Garden, Gated Community, Parking, Hospital, School, Shopping Centre",1,300.0,4,Langata,1,2026-02-19,19,2,3,"Garden, Gated Community, Parking, Hospital, School, Shopping Centre",6,1,0,0,1,0,0,0,1,233.33333333333334,1.0,8.0,75.0,1.0,Medium,Budget,Medium,1,0
Nairobi - Kyuna,House,4 bedrooms,4.0,,330000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,300.0,4,Kyuna,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1100.0,1.0,8.0,75.0,2.0,Medium,Mid-Range,Medium,10,0
Nairobi - Kiambu Road,House,5 bedrooms,6.0,453 m²,250000,20 February 2026,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",0,453.0,5,Kiambu Road,1,2026-02-20,20,2,4,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",27,1,1,1,1,1,1,1,1,551.8763796909492,0.8333333333333334,11.0,90.6,9.0,Very Large,Budget,Large,19,0
Nairobi - Lavington,House,5 bedrooms,5.0,,420000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,320.0,5,Lavington,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,1312.5,1.0,10.0,64.0,2.0,Large,Premium,Large,102,0
Nairobi - Runda,House,5 bedrooms,5.0,,710700,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,320.0,5,Runda,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",14,1,0,0,1,0,1,1,0,2220.9375,1.0,10.0,64.0,2.0,Large,Luxury,Large,85,0
Nairobi - Runda,House,4 bedrooms,4.0,380 m²,478000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool, Bus Stop, Shopping Centre, Hospital, School",0,380.0,4,Runda,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool, Bus Stop, Shopping Centre, Hospital, School",15,1,1,0,1,0,1,1,0,1257.8947368421052,1.0,8.0,95.0,5.0,Large,Premium,Medium,85,0
Nairobi - Runda,House,5 bedrooms,5.0,"0,5 m²",450000,10 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, School, Hospital",0,5.0,5,Runda,1,2026-02-10,10,2,1,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, School, Hospital",15,1,0,0,1,0,1,1,1,90000.0,1.0,10.0,1.0,3.0,Small,Premium,Large,85,0
Nairobi - Runda,House,4 bedrooms,4.0,"0,5 m²",412800,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, School",0,5.0,4,Runda,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, School",15,1,0,0,1,0,1,1,1,82560.0,1.0,8.0,1.25,3.0,Small,Premium,Medium,85,0
Nairobi - Kitisuru,House,2 bedrooms,2.0,,277350,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",1,177.5,2,Kitisuru,1,2026-02-20,20,2,4,"Alarm, Backup Generator, En Suite, Fibre Internet, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School",13,1,0,0,1,0,1,1,0,1562.5352112676057,1.0,4.0,88.75,2.0,Small,Mid-Range,Small,27,0
