Location,Property Type,Bedrooms,Bathrooms,Size,Price (KES),Listing Date,Amenities
Nairobi - Lavington,House,5 bedrooms,7,,750000,19 February 2026,"Aircon, Alarm, Service Charge Included, Walk In Closet, Backup Generator, En Suite, Gym, Parking, Staff Quarters, Balcony, CCTV, Electric Fence, Garden, Swimming Pool, Gated Community, Bus Stop, Shopping Centre, Hospital, Scenic View, School"
Nairobi - Karen Hardy,House,3 bedrooms,3,,380000,17 February 2026,"Backup Generator, Alarm, Serviced, Service Charge Included, Walk In Closet, En Suite, Fibre Internet, Furnished, BBQ, Balcony, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Parking, Kids Play Area, Scenic View, Hospital, Golf Course, Bus Stop, Shopping Centre, School"
Nairobi - Kitisuru,House,4 bedrooms,4,,500000,17 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,4 bedrooms,4,,350000,20 February 2026,"Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Kids Play Area, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Garden, Gated Community, Bus Stop, Hospital, School, Scenic View, Shopping Centre"
Nairobi - Runda,House,5 bedrooms,5,450 m²,541000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, BBQ, Balcony, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Langata,House,4 bedrooms,4,,70000,19 February 2026,"Garden, Gated Community, Parking, Hospital, School, Shopping Centre"
Nairobi - Kyuna,House,4 bedrooms,4,,330000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kiambu Road,House,5 bedrooms,6,453 m²,250000,20 February 2026,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School"
Nairobi - Lavington,House,5 bedrooms,5,,420000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,5 bedrooms,5,,710700,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,380 m²,478000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,5 bedrooms,5,"0,5 m²",450000,10 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, School, Hospital"
Nairobi - Runda,House,4 bedrooms,4,"0,5 m²",412800,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kitisuru,House,2 bedrooms,2,,277350,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,420 m²,400000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,5 bedrooms,5,2.023 m²,1200000,20 February 2026,"Backup Generator, En Suite, Alarm, Fibre Internet, Furnished, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kileleshwa,House,5 bedrooms,6,,190000,20 February 2026,"En Suite, Backup Generator, Service Charge Included, Walk In Closet, Alarm, Gated Community, Staff Quarters, Parking, Balcony, BBQ, Electric Fence, Garden, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Karen,House,4 bedrooms,4,,450000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lavington,House,5 bedrooms,5,,350000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Spring Valley,House,4 bedrooms,4,"0,13 m²",452300,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,450 m²,450000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,5 bedrooms,5,"0,5 m²",646000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Shopping Centre, Bus Stop, Hospital, School"
